"RecordIDS","AverageConsistency","Title-Consistency","Title-Values"
"MB_20959+WDC_13406","1.0","1.0","{Chardonnay & Purple Haze|Chardonnay & Purple Haze}"
"MB_6205+spy_16744","1.0","1.0","{Omarm|Omarm}"
"MB_48727+WDC_29972","1.0","1.0","{Outer Edges Remixes|Outer Edges Remixes}"
"MB_77951+WDC_42119","1.0","1.0","{One, Two...|One Two}"
"MB_63517+spy_4701","1.0","1.0","{Hurts So Good|Hurts So Good}"
"MB_17179+spy_11608","1.0","1.0","{Näitä hetkiä varten|Näitä hetkiä varten}"
"MB_19909+WDC_44577","1.0","1.0","{Good Kid Brass City|Good Kid Brass City}"
"MB_62759+WDC_42789","0.0","0.0","{Imani, Vol. 1|Imani, Vol. 1 (Instrumentals [Explicit])}"
"MB_56316+WDC_37448","1.0","1.0","{Live|Live}"
"MB_52333+WDC_36094","0.0","0.0","{The Ultimate Peter & Gordon|The Ultimate Peter And Gordon}"
"MB_71648+WDC_18351+WDC_823","0.0","0.0","{Can’t Do Without You (Tale of Us & Mano Le Tough remix)|Can't Do Without You (Tale Of Us & Mano Le Tough Remixough Remix)|Can't Do Without You}"
"MB_53981+WDC_394","1.0","1.0","{Too Shy|Too Shy}"
"MB_38159+WDC_23991+WDC_4087+WDC_41486","1.0","1.0","{Yage 2019|Yage 2019|Yage 2019|Yage 2019}"
"MB_30594+spy_9700","1.0","1.0","{Orion|Orion}"
"MB_36443+WDC_31521","1.0","1.0","{Wake the Dead|Wake the Dead}"
"MB_48724+spy_12998","1.0","1.0","{Bu Benim Öyküm|Bu Benim Öyküm}"
"MB_15801+WDC_2158","1.0","1.0","{Raza odiada|Raza Odiada}"
"MB_59433+spy_19150","1.0","1.0","{For Those Who Have Heart|For Those Who Have Heart}"
"MB_5425+WDC_39592+WDC_41994","1.0","1.0","{At Now|At Now|At Now}"
"MB_30772+spy_17572","1.0","1.0","{Agarrese!|Agarrese!}"
"MB_19355+WDC_22835","1.0","1.0","{What Noise|What Noise?}"
"MB_27388+WDC_21801","1.0","1.0","{Image|Image}"
"MB_56129+WDC_10224+WDC_11911+WDC_15336+WDC_15658+WDC_2773+WDC_665","1.0","1.0","{Carboot Soul|Carboot Soul|Carboot Soul|Carboot Soul|Carboot Soul|Carboot Soul|Carboot Soul}"
"MB_59454+spy_16266","1.0","1.0","{Érase...|Érase}"
"MB_60155+WDC_38444","1.0","1.0","{Every Time You Go Away|Every Time You Go Away}"
"MB_47883+WDC_33738","1.0","1.0","{Ars Moriendi|Ars Moriendi}"
"MB_19901+spy_18654","1.0","1.0","{Théorème (Iconic edition)|Théorème (Iconic Edition)}"
"MB_42761+WDC_12564","1.0","1.0","{Greatest Hits|Greatest Hits}"
"MB_19183+WDC_13590","1.0","1.0","{Mane Attraction|Mane Attraction}"
"MB_21893+MB_21895+spy_1163","1.0","1.0","{Pete Parkkonen|Pete Parkkonen|Pete Parkkonen}"
"MB_37887+MB_37888+MB_37889+MB_37890+spy_17083","1.0","1.0","{the mockingbird & THE CROW|the mockingbird & THE CROW|the mockingbird & THE CROW|the mockingbird & THE CROW|the mockingbird & THE CROW}"
"MB_2586+MB_2590+spy_7355","1.0","1.0","{BEN|Ben|BEN}"
"MB_29156+WDC_34879","1.0","1.0","{Fisico & politico|Fisico & Politico}"
"MB_17187+spy_12013","1.0","1.0","{Saturn / Sunbeam|Saturn / Sunbeam}"
"MB_1202+spy_19864","1.0","1.0","{The Best of Kenny Rogers: Through the Years|The Best Of Kenny Rogers: Through The Years}"
"MB_2281+WDC_34806","1.0","1.0","{Rivers Of Babylon (The Best Of The Melodians 1967-1973)|Rivers of Babylon: The Best of The Melodians 1967-1973}"
"MB_52468+WDC_19398","1.0","1.0","{30 años y un día|30 años y un día}"
"MB_70613+WDC_36670+WDC_37022","0.6666666666666666","0.6666666666666666","{Hacia lo salvaje|Hacia Lo Salvaje (Deluxe Edition)|Hacia Lo Salvaje (Deluxe Edition)}"
"MB_3406+spy_5204","1.0","1.0","{El gran truco final|El gran truco final}"
"MB_62291+WDC_37824","1.0","1.0","{Transfusion|Transfusion}"
"MB_9368+WDC_13625+WDC_42737+WDC_7231+WDC_9600","0.6","0.6","{The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser|The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser|The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser (Explicit)|The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser (Explicit)|The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser (Explicit)}"
"MB_21164+WDC_5199","1.0","1.0","{Let's Dance|Let´s Dance}"
"MB_35052+spy_3942","1.0","1.0","{Madness|Madness}"
"MB_31142+WDC_5561","1.0","1.0","{A Monument to the Suffering|A Monument to the Suffering}"
"MB_33114+WDC_23834+WDC_4459","1.0","1.0","{Vertically Challenged|Vertically Challenged|Vertically Challenged}"
"MB_64237+WDC_16936+WDC_26613","1.0","1.0","{St. Elsewhere|St. Elsewhere|St. Elsewhere}"
"MB_33827+WDC_14246+WDC_16489","1.0","1.0","{Thief|Thief|Thief}"
"MB_35535+spy_10238","1.0","1.0","{PARTYMOBILE|PARTYMOBILE}"
"MB_14812+WDC_37869","0.0","0.0","{No More Running|No More Running + Gee Baby}"
"MB_66200+MB_66203+spy_7043","1.0","1.0","{Dear Society|Dear Society|Dear Society}"
"MB_72513+MB_72514+spy_18962","1.0","1.0","{Nothing Great About Britain|Nothing Great About Britain|Nothing Great About Britain}"
"MB_69063+WDC_17883+WDC_39829","1.0","1.0","{Once Upon a Time in West Twelve|Once Upon A Time In West Twelve|Once Upon A Time In West Twelve}"
"MB_57736+WDC_26542+WDC_34444+WDC_38850","1.0","1.0","{Starship|Starship|Starship|Starship}"
"MB_46722+WDC_1069+WDC_30395","1.0","1.0","{Groove On|Groove On!|Groove On!}"
"MB_45945+spy_16056","1.0","1.0","{Vilja bli|Vilja Bli}"
"MB_12193+WDC_15982","1.0","1.0","{Hold You Up|Hold You Up}"
"MB_32207+WDC_36744","0.0","0.0","{Fall of the Plastic Empire|Fall of the Plastic Empire (Explicit)}"
"MB_55771+WDC_11959","1.0","1.0","{Time's So Right|Time's so Right}"
"MB_51935+WDC_387","1.0","1.0","{No Surrender|No Surrender}"
"MB_3056+spy_11617","1.0","1.0","{Where Is My Mind?|Where Is My Mind?}"
"MB_23247+spy_7745","1.0","1.0","{Oh Long Johnson|Oh Long Johnson}"
"MB_36300+WDC_10861","1.0","1.0","{The Silent Hours|The Silent Hours}"
"MB_61944+WDC_7300","1.0","1.0","{It Means Everything|It Means Everything}"
"MB_17425+WDC_27116+WDC_5109","1.0","1.0","{The War of Art|The War Of Art|The War Of Art}"
"MB_67354+WDC_7464","1.0","1.0","{Tenacity / Felicity|Tenacity / Felicity}"
"MB_902+WDC_1053","1.0","1.0","{Lucky Disco Pants|Lucky Disco Pants}"
"MB_54972+MB_54973+spy_10585","1.0","1.0","{Hilary Duff|Hilary Duff|Hilary Duff}"
"MB_67153+spy_15927","1.0","1.0","{SEND IT!|SEND IT!}"
"MB_923+spy_10673","1.0","1.0","{f*kn around|f*kn around}"
"MB_42172+spy_6399","1.0","1.0","{Entertain Me|Entertain Me}"
"MB_38068+WDC_23064","1.0","1.0","{I'll Have What She's Having|I'll Have What She's Having}"
"MB_17555+WDC_11338+WDC_25252+WDC_4195","0.75","0.75","{A Wolf in Sheep’s Clothing|A Wolf In Sheep's Clothing (Explicit)|A Wolf In Sheep's Clothing (Explicit)|A Wolf In Sheep's Clothing (Explicit)}"
"MB_47363+spy_3602","1.0","1.0","{All Rights Removed|All Rights Removed}"
"MB_2426+WDC_42770","0.0","0.0","{Behold The Beginning|Behold the Beginning (Explicit)}"
"MB_33148+spy_10082","1.0","1.0","{The Lost Album|The Lost Album}"
"MB_68760+WDC_40157","1.0","1.0","{Higher Truth|Higher Truth}"
"MB_27698+WDC_29811+WDC_41798","0.6666666666666666","0.6666666666666666","{The Best of the Stylistics Volume 2|The Best Of The Stylistics|The Best Of The Stylistics}"
"MB_48120+spy_6311","1.0","1.0","{Saattaa olla ninja|Saattaa olla ninja}"
"MB_21053+WDC_40283","1.0","1.0","{Big Band Bossa Nova|Big Band Bossa Nova}"
"MB_2265+WDC_39729","1.0","1.0","{Big-5: Jope Ruonansuu|Big-5: Jope Ruonansuu}"
"MB_46089+WDC_10721","0.0","0.0","{Duele el corazón (Dave Audé club remix)|DUELE EL CORAZON (Dave Audé Club Mix)}"
"MB_55110+WDC_34381+WDC_37662","0.6666666666666666","0.6666666666666666","{The Colour of Snow (Pur Version)|The Colour Of Snow (Digital Version)|The Colour Of Snow (Digital Version)}"
"MB_57368+MB_57369+MB_57370+spy_1980","0.75","0.75","{我肯定在幾百年前就說過愛你|我肯定在幾百年前就說過愛你|我肯定在几百年前就说过爱你|我肯定在幾百年前就說過愛你}"
"MB_7442+WDC_5479+WDC_6816","1.0","1.0","{Lonesome Standard Time|Lonesome Standard Time|Lonesome Standard Time}"
"MB_30811+spy_12489","1.0","1.0","{The King Stays King: Sold Out at Madison Square Garden|The King Stays King - Sold Out at Madison Square Garden}"
"MB_39571+spy_5214","1.0","1.0","{Mis mejores canciones|Mis Mejores Canciones}"
"MB_50196+WDC_41918","1.0","1.0","{Sapphire|Sapphire}"
"MB_30564+spy_2916","1.0","1.0","{My Favourite Faded Fantasy|My Favourite Faded Fantasy}"
"MB_49775+WDC_33154","1.0","1.0","{Salt As Wolves|Salt as Wolves}"
"MB_69236+WDC_28424+WDC_43013","1.0","1.0","{Back Up n da Chevy|Back Up N Da Chevy|Back Up N Da Chevy}"
"MB_3342+MB_3351+spy_1855","1.0","1.0","{Old Dominion|Old Dominion|Old Dominion}"
"MB_43632+WDC_32445","1.0","1.0","{Something Big|Something Big}"
"MB_64033+WDC_28607","1.0","1.0","{Nice & Smooth|Nice & Smooth}"
"MB_11253+WDC_17400+WDC_21118+WDC_32581+WDC_37791+WDC_4019+WDC_8368","1.0","1.0","{Back to the Roots|Back To The Roots|Back To The Roots|Back To The Roots|Back To The Roots|Back To The Roots|Back To The Roots}"
"MB_21516+WDC_35058","1.0","1.0","{The Master|The Master}"
"MB_48080+WDC_41876","1.0","1.0","{Mountaintops|Mountaintops}"
"MB_76643+spy_1139","0.0","0.0","{Tú y yo|Tú Y Yo (Live)}"
"MB_16412+WDC_29157+WDC_44336","0.6666666666666666","0.6666666666666666","{Blues for the Red Sun|Blues For The Red Sun (Explicit)|Blues For The Red Sun (Explicit)}"
"MB_68466+spy_9941","1.0","1.0","{Talento de su mamá|Talento de Su mamá}"
"MB_75817+WDC_27629","1.0","1.0","{Just for You|Just For You}"
"MB_47884+WDC_39110","1.0","1.0","{The Collection EP|The Collection EP}"
"MB_16437+WDC_41081","1.0","1.0","{Pepesito Reyes|Pepesito Reyes}"
"MB_49005+WDC_1150+WDC_1270+WDC_2057+WDC_6156","0.8","0.8","{Shock Value II|Shock Value II (International Deluxe version [Explicit])|Shock Value II (International Deluxe version [Explicit])|Shock Value II (International Deluxe version [Explicit])|Shock Value II (International Deluxe version [Explicit])}"
"MB_13560+spy_13629","1.0","1.0","{Michael Pangilinan|Michael Pangilinan}"
"MB_50488+spy_10654","1.0","1.0","{La corona de mi padre|La Corona De Mi Padre}"
"MB_78527+WDC_34433","1.0","1.0","{Redeemer|Redeemer}"
"MB_4129+spy_12941","1.0","1.0","{YEAR OF THE OX|YEAR OF THE OX}"
"MB_44710+WDC_10154+WDC_19493+WDC_23284+WDC_26113+WDC_2649+WDC_27571+WDC_38994+WDC_5600","1.0","1.0","{The Best That I Could Do 1978-1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988|The Best That I Could Do 1978 - 1988}"
"MB_35383+WDC_6476","1.0","1.0","{Quinta Vergara + (en vivo)|Quinta Vergara + (En Vivo)}"
"MB_27041+WDC_13591+WDC_23494+WDC_23794+WDC_24256+WDC_2674+WDC_30517+WDC_34340+WDC_34749+WDC_8371","0.4","0.4","{Hot Shot 2020|Hot Shot 2020|Hot Shot 2020 (Standard Edition)|Hot Shot 2020|Hot Shot 2020 (Deluxe)|Hot Shot 2020 (Deluxe)|Hot Shot 2020 (Deluxe)|Hot Shot 2020 (Deluxe Edition)|Hot Shot 2020 (Deluxe)|Hot Shot 2020}"
"MB_24145+WDC_14422","0.0","0.0","{Sonny Is King|Sonny Is King (Remastered 2016)}"
"MB_69284+WDC_20683+WDC_36125","1.0","1.0","{Songs From the Big Chair|Songs From The Big Chair|Songs From The Big Chair}"
"MB_37815+spy_14787","1.0","1.0","{Vie d'artiste (Réédition)|Vie d'artiste (Réédition)}"
"MB_45271+spy_5604","1.0","1.0","{One Wave|One Wave}"
"MB_42989+WDC_44321","1.0","1.0","{Nel respiro del mondo|Nel respiro del mondo}"
"MB_31164+WDC_21942+WDC_5716","1.0","1.0","{Spilt Milk|Spilt Milk|Spilt Milk}"
"MB_19807+WDC_35294","1.0","1.0","{Kill It Live|Kill It Live}"
"MB_12280+WDC_23536","1.0","1.0","{The Loon|The Loon}"
"MB_44371+MB_44372+spy_17802","1.0","1.0","{Make Make|Make Make|Make Make}"
"MB_45672+WDC_37286+WDC_44778","1.0","1.0","{Love Keys|Love Keys|Love Keys}"
"MB_52293+WDC_14928+WDC_4274","1.0","1.0","{Waiting Here for You|Waiting Here For You|Waiting Here For You}"
"MB_46517+WDC_26861","0.0","0.0","{The Hippy Hippy Shake / If I Had a Way|The Hippy Hippy Shake}"
"MB_57942+WDC_21244","1.0","1.0","{Cold Dark Place|Cold Dark Place}"
"MB_9825+WDC_43438","1.0","1.0","{Buscamos sonrisas|Buscamos sonrisas}"
"MB_41069+WDC_1099+WDC_14235+WDC_41621+spy_12147","0.6","0.6","{Once Upon Another Time|Once Upon Another Time (Explicit)|Once Upon Another Time (Explicit)|Once Upon Another Time (Explicit)|Once Upon Another Time}"
"MB_5763+WDC_2606","1.0","1.0","{Cloud Maintenance|Cloud Maintenance}"
"MB_40734+WDC_17853","1.0","1.0","{Obsesión|Obsesión}"
"MB_33917+spy_3479","1.0","1.0","{UNtitled|UNtitled}"
"MB_65220+WDC_38824","1.0","1.0","{Careless|Careless}"
"MB_1317+WDC_42729","1.0","1.0","{Critically Ashamed|Critically Ashamed}"
"MB_21648+MB_21649+spy_4715","1.0","1.0","{GEEZYWORLD|GEEZYWORLD|GEEZYWORLD}"
"MB_4813+WDC_16622","1.0","1.0","{Details|Details}"
"MB_64760+spy_9591","1.0","1.0","{Carlos Rivera|Carlos Rivera}"
"MB_34471+spy_11519","1.0","1.0","{Nacidos para creer|Nacidos para Creer}"
"MB_42291+WDC_21404","0.0","0.0","{For Sale: Live At Maxwell's 1986|For Sale: Live at Maxwell's 1986 (Explicit)}"
"MB_32420+WDC_27941","1.0","1.0","{Weekend|Weekend}"
"MB_60782+WDC_42987","1.0","1.0","{Selena|Selena}"
"MB_21673+spy_3019","1.0","1.0","{Ciro y los Persas en el Estadio de River|Ciro Y los Persas En el Estadio de River}"
"MB_36813+spy_10484","1.0","1.0","{Posfácio|Posfácio}"
"MB_13233+WDC_6061","1.0","1.0","{Pinocchio|Pinocchio}"
"MB_33443+WDC_31273","1.0","1.0","{Zack!! Stimmung!!|Zack!! Stimmung!!}"
"MB_29084+spy_18684","1.0","1.0","{U Mad|U Mad}"
"MB_64795+WDC_4284","1.0","1.0","{Exposed|Exposed}"
"MB_6267+WDC_6440","1.0","1.0","{Suzanne|Suzanne}"
"MB_70222+WDC_17678+WDC_33415","1.0","1.0","{Smokin'|Smokin'|Smokin'}"
"MB_22274+WDC_2412","1.0","1.0","{Gods of the Abyss|Gods of the Abyss}"
"MB_17566+WDC_23354","1.0","1.0","{Tom Rush|Tom Rush}"
"MB_56543+WDC_41079","1.0","1.0","{Shake Those Hula Hips|Shake Those Hula Hips!}"
"MB_13426+WDC_29036","1.0","1.0","{This Is What I Do|This Is What I Do}"
"MB_78118+WDC_7408","1.0","1.0","{Start @ One|Start @ One}"
"MB_10929+spy_4750","1.0","1.0","{Fallout 4 (Original Game Soundtrack)|Fallout 4 (Original Game Soundtrack)}"
"MB_4514+WDC_24537","1.0","1.0","{Ecoustic|Ecoustic}"
"MB_14803+WDC_43209+WDC_4800+WDC_9019","0.75","0.75","{You Don't Know Me|You Don't Know Me Ep|You Don't Know Me Ep|You Don't Know Me Ep}"
"MB_45218+WDC_12694","1.0","1.0","{Move It, Groove It|Move It Groove It}"
"MB_20235+WDC_27015","0.0","0.0","{Approach & Identify / Modem|Approach & Identify}"
"MB_67058+WDC_4533","1.0","1.0","{Percepção|Percepção}"
"MB_50747+WDC_22167","1.0","1.0","{The Viking of Sixth Avenue|The Viking Of Sixth Avenue}"
"MB_24590+WDC_18038+WDC_26078","1.0","1.0","{Sam Butera & The Witnesses Play Music from ""The Rat Race""|Sam Butera & The Witnesses Play Music From \'The Rat Race\|Sam Butera & The Witnesses Play Music From \'The Rat Race\}"
"MB_45689+MB_45693+spy_17262","1.0","1.0","{Tant que rien ne m'arrête|Tant que rien ne m'arrête|Tant que rien ne m'arrête}"
"MB_18345+WDC_15333+WDC_8428","1.0","1.0","{War Orphans|War Orphans|War Orphans}"
"MB_46667+WDC_29562","1.0","1.0","{Thankful|Thankful}"
"MB_43630+spy_17613","1.0","1.0","{eight-hundreds|eight-hundreds}"
"MB_16677+WDC_26325+WDC_32817+WDC_39967+WDC_45057","1.0","1.0","{Meus caros amigos|Meus Caros Amigos|Meus Caros Amigos|Meus Caros Amigos|Meus Caros Amigos}"
"MB_58270+WDC_12340","1.0","1.0","{Tof|Tof}"
"MB_73278+spy_8247","1.0","1.0","{Caliente|Caliente}"
"MB_66631+WDC_43366","1.0","1.0","{Auf der Maur|Auf Der Maur}"
"MB_15548+spy_3474","1.0","1.0","{Love|Love}"
"MB_79505+WDC_12335+WDC_14869+WDC_16162+WDC_4373","1.0","1.0","{Everything|Everything|Everything|Everything|Everything}"
"MB_12675+spy_15385","1.0","1.0","{Dengarkan Hatiku|Dengarkan Hatiku}"
"MB_12764+WDC_35822","0.0","0.0","{Vodou Adjae|Vodoo Adjae}"
"MB_15809+WDC_31035","1.0","1.0","{Pocho Aztlan|Pocho Aztlan}"
"MB_73692+spy_8199","1.0","1.0","{CrasH Talk|CrasH Talk}"
"MB_12713+WDC_23567","1.0","1.0","{How To Live With A Curse|How to Live With a Curse}"
"MB_16541+WDC_10559+WDC_31740","0.6666666666666666","0.6666666666666666","{Saturday Night! The Album|Saturday Night! The Album (Expanded Edition)|Saturday Night! the Album}"
"MB_32597+WDC_17108","1.0","1.0","{Maor Levi Presents: 20 Years of Anjunabeats|Maor Levi Presents: 20 Years Of Anjunabeats}"
"MB_54293+WDC_25099+WDC_41112","1.0","1.0","{All We Are|All We Are|All We Are}"
"MB_73001+spy_10823","1.0","1.0","{BLO II|BLO II}"
"MB_37075+WDC_19021","1.0","1.0","{Light It Up|Light It Up}"
"MB_43085+WDC_33006","1.0","1.0","{The Unreleased Remixes|The Unreleased Remixes}"
"MB_8739+spy_4787","0.0","0.0","{Do Bad Well|Do Bad Well (feat. Nevve)}"
"MB_18909+WDC_33244","1.0","1.0","{ZOEgirl|ZOEgirl}"
"MB_47109+WDC_13746+WDC_8858","1.0","1.0","{Eye to the Telescope|Eye To The Telescope|Eye To The Telescope}"
"MB_63016+WDC_34787","1.0","1.0","{Thought Becomes Reality|Thought Becomes Reality}"
"MB_26229+WDC_12670","1.0","1.0","{Vrioon|Vrioon}"
"MB_58213+WDC_23278+WDC_35733","1.0","1.0","{Ultra-Magnetic Glowing Sound|Ultra-Magnetic Glowing Sound|Ultra-Magnetic Glowing Sound}"
"MB_37343+spy_4237","1.0","1.0","{Enamorándonos|Enamorándonos}"
"MB_65406+MB_65407+MB_65409+spy_162","1.0","1.0","{i am > i was|i am > i was|i am > i was|i am > i was}"
"MB_25495+WDC_16819+WDC_24178","1.0","1.0","{Love Songs for Lovers|Love Songs for Lovers|Love Songs for Lovers}"
"MB_19860+WDC_50","1.0","1.0","{When Did Your Heart Go Missing?|When Did Your Heart Go Missing?}"
"MB_19376+WDC_43958","1.0","1.0","{Luminous EP|Luminous EP}"
"MB_44381+WDC_10956+WDC_15010+WDC_24228+WDC_27506+WDC_27644+WDC_37612","1.0","1.0","{There Is a Place|There Is a Place|There Is a Place|There Is a Place|There Is a Place|There Is a Place|There Is a Place}"
"MB_64116+spy_18699","1.0","1.0","{Caravana|CARAVANA}"
"MB_52476+WDC_18810","0.0","0.0","{Frampton Comes Alive!|Frampton Comes Alive! (Deluxe Edition)}"
"MB_53577+WDC_38511","1.0","1.0","{Sarina Paris|Sarina Paris}"
"WDC_7176+spy_1250","1.0","1.0","{The Outfield (Roosevelt Remix)|The Outfield (Roosevelt Remix)}"
"MB_19670+WDC_38889","1.0","1.0","{Christmas Time Is Here|Christmas Time Is Here}"
"MB_14119+WDC_27404","1.0","1.0","{Let It Fall|Let It Fall}"
"MB_22235+WDC_40151+WDC_44178","1.0","1.0","{Paper Gods|Paper Gods|Paper Gods}"
"MB_40309+spy_16","1.0","1.0","{Fenice|Fenice}"
"MB_43408+WDC_10481+WDC_22906+WDC_23629+WDC_24889+WDC_8259","1.0","1.0","{Laid|Laid|Laid|Laid|Laid|Laid}"
